method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
randomKTA,corners,6.0,30,0.95,0.98,0.83,0.91,0.9099189270343309,0.9097639055622249,0.9102564102564102,21.072575124999958,618092,0.19606539607048035,0.2687060236930847
randomKTA,corners,8.0,30,0.95,1.0,0.83,0.9,0.8996386993175431,0.9009661835748792,0.8990384615384616,21.942841040999838,618122,0.19606539607048035,0.28697288036346436
randomKTA,corners,10.0,30,0.95,0.98,0.83,0.89,0.8897243107769424,0.8902047370533922,0.8894230769230769,22.106896792000043,618160,0.19606539607048035,0.2703583240509033
quackKTA,corners,2.0,30,0.95,0.98,0.83,0.86,0.8599439775910365,0.8639291465378421,0.8621794871794872,105.43943808299991,6726100,0.1977996677160263,0.27881383895874023
quackKTA,corners,4.0,30,0.95,0.98,0.83,0.86,0.8599439775910365,0.8639291465378421,0.8621794871794872,104.59868699999993,6726100,0.1977996677160263,0.27881383895874023
quackKTA,corners,6.0,30,0.95,0.98,0.83,0.86,0.8599439775910365,0.8639291465378421,0.8621794871794872,101.71271683299983,6726100,0.1977996677160263,0.27881383895874023
quackKTA,corners,8.0,30,0.95,0.98,0.83,0.86,0.8599439775910365,0.8639291465378421,0.8621794871794872,103.39547829200023,6726100,0.1977996677160263,0.27881383895874023
quackKTA,corners,10.0,30,0.95,0.98,0.83,0.86,0.8599439775910365,0.8639291465378421,0.8621794871794872,103.49779504099979,6726100,0.1977996677160263,0.27881383895874023
centroidBasedKTA,corners,2.0,300,0.95,0.95,0.83,0.92,0.9199679871948779,0.9199999999999999,0.9206730769230769,43.48444037499985,635500,0.1664721816778183,0.16244910657405853
centroidBasedKTA,corners,4.0,300,0.95,0.98,0.83,0.91,0.90999099909991,0.9126856684062625,0.9118589743589745,43.89080995799986,637900,0.1503462940454483,0.14993250370025635
centroidBasedKTA,corners,6.0,300,0.95,0.97,0.83,0.95,0.9499949994999499,0.9505802320928372,0.9511217948717949,43.94797070799996,640300,0.1713453233242035,0.16805535554885864
centroidBasedKTA,corners,8.0,300,0.95,0.99,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,43.54274504199975,642700,0.18077000975608826,0.17988084256649017
centroidBasedKTA,corners,10.0,300,0.95,0.98,0.83,0.94,0.9399759903961584,0.94,0.9407051282051282,44.73319354199975,645100,0.1927756369113922,0.1568448543548584
greedyKTA,corners,2.0,30,0.95,0.94,0.83,0.88,0.8798076923076923,0.8798076923076923,0.8798076923076923,24.953006124999774,651056,0.19606539607048035,0.19559916853904724
greedyKTA,corners,4.0,30,0.95,0.97,0.83,0.9,0.8998397435897436,0.8998397435897436,0.8998397435897436,25.674331208999774,651070,0.19606539607048035,0.2073754221200943
